epoch,phase,steps,nr_games,average_reward,min_game_reward,max_game_reward,last_exploration_rate,total_train_steps,replay_memory_count,meanq,meancost,weight_updates,total_time,epoch_time,steps_per_second
25,test,10000,17,2.4705882352941178,1,7,0.05,1250000,1000000,0.30383,0.00409930855544971,312500,5212.371714,25.996271999999408,384.67054045288603
26,train,50000,184,2.0380434782608705,0,9,0.1,1300000,1000000,0.311254,0.0040968195942232494,325000,5420.335434,207.9615989999993,240.42900343346642
26,test,10000,15,2.8,2,5,0.05,1300000,1000000,0.308614,0.0040968195942232494,325000,5446.1791,25.831890000000385,387.11840287334184
27,train,50000,180,1.8500000000000005,0,11,0.1,1350000,1000000,0.320823,0.0040470571418183216,337500,5654.490219,208.30901300000005,240.02802029502195
27,test,10000,16,4.5625,1,11,0.05,1350000,1000000,0.320149,0.0040470571418183216,337500,5680.4883,25.986367999999857,384.8171472057986
28,train,50000,170,2.147058823529414,0,11,0.1,1400000,1000000,0.358847,0.0039706712699045113,350000,5888.316572,207.82614999999987,240.58570107755943
28,test,10000,15,7.066666666666667,2,11,0.05,1400000,1000000,0.35919,0.0039706712699045113,350000,5914.263334,25.934831000000486,385.58184551115113
29,train,50000,178,2.0842696629213484,0,11,0.1,1450000,1000000,0.342382,0.0038895149930358547,362500,6122.486195,208.22069200000078,240.1298330139053
29,test,10000,18,1.0000000000000002,0,3,0.05,1450000,1000000,0.344607,0.0038895149930358547,362500,6148.5182620000005,26.02017800000067,384.31712496354726
30,train,50000,149,2.8187919463087256,0,11,0.1,1500000,1000000,0.34192,0.0038034049071124141,375000,6355.9603720000005,207.43999600000006,241.03355651819422
30,test,10000,17,1.8235294117647054,0,4,0.05,1500000,1000000,0.340728,0.0038034049071124141,375000,6381.903983,25.931749999999738,385.6276572155794
31,train,50000,138,3.181159420289854,0,13,0.1,1550000,1000000,0.364018,0.0037184988915102825,387500,6589.142533,207.23643300000003,241.2703175604262
31,test,10000,16,4.625,1,11,0.05,1550000,1000000,0.362647,0.0037184988915102825,387500,6615.118961,25.964751999999862,385.1375125785932
32,train,50000,143,3.0279720279720275,0,14,0.1,1600000,1000000,0.316525,0.0036383328631012951,400000,6822.226696,207.10560499999974,241.42272730861177
32,test,10000,15,4.666666666666666,1,11,0.05,1600000,1000000,0.316518,0.0036383328631012951,400000,6848.108759,25.870186999999532,386.5453311180233
33,train,50000,160,2.6687499999999993,0,11,0.1,1650000,1000000,0.349775,0.0035674978537680465,412500,7055.971867,207.86100100000021,240.54536329304
33,test,10000,17,1.2352941176470589,0,4,0.05,1650000,1000000,0.350165,0.0035674978537680465,412500,7082.001973,26.018197000000328,384.346386492495
34,train,50000,168,2.1666666666666674,0,9,0.1,1700000,1000000,0.328659,0.0034971915647011862,425000,7289.857623,207.85353399999985,240.55400472526983
34,test,10000,18,1.388888888888889,0,3,0.05,1700000,1000000,0.328691,0.0034971915647011862,425000,7315.829816,25.960239,385.20446595272097
35,train,50000,177,2.090395480225989,0,11,0.1,1750000,1000000,0.289087,0.0034331725950608703,437500,7523.984541,208.15260099999978,240.2083844246561
35,test,10000,15,7.266666666666667,2,11,0.05,1750000,1000000,0.289048,0.0034331725950608703,437500,7549.99921,26.00292300000001,384.5721498310015
36,train,50000,186,2.2204301075268815,0,11,0.1,1800000,1000000,0.299856,0.0033702754528051647,450000,7758.2385380000005,208.23721400000068,240.11078058314706
36,test,10000,26,3.5384615384615388,0,11,0.05,1800000,1000000,0.302338,0.0033702754528051647,450000,7784.429942,26.17972699999973,381.9749533675467
37,train,50000,216,1.689814814814815,0,11,0.1,1850000,1000000,0.28939,0.0033133727086739478,462500,7993.451093,209.01903499999935,239.21266309549347
