epoch,phase,steps,nr_games,average_reward,min_game_reward,max_game_reward,last_exploration_rate,total_train_steps,replay_memory_count,meanq,meancost,weight_updates,total_time,epoch_time,steps_per_second
17,test,125000,173,433.1502890173409,105,925,0.05,4250000,1000000,3.94558,0,1062500,38890.920178,529.4027439999991,236.11513430311993
18,train,250000,359,431.2116991643455,60,905,0.1,4500000,1000000,3.72081,0.0013662641519044273,1125000,40707.437949,1816.5143709999975,137.62621644571638
18,test,125000,172,419.1279069767442,55,875,0.05,4500000,1000000,3.80565,0,1125000,41240.069313,532.5819219999976,234.7056759466961
19,train,250000,370,406.8783783783782,50,945,0.1,4750000,1000000,4.3569,0.0014480550065893404,1187500,43044.773134,1804.7003919999988,138.5271489429588
19,test,125000,159,494.68553459119494,115,1005,0.05,4750000,1000000,4.34529,0,1187500,43573.706089,528.8845459999939,236.34647853749436
20,train,250000,348,432.16954022988546,40,975,0.1,5000000,1000000,4.36746,0.0013959832922569523,1250000,45377.927879,1804.2185200000022,138.56414687506904
20,test,125000,178,347.50000000000017,35,775,0.05,5000000,1000000,4.30744,0,1250000,45911.550231,533.5630679999958,234.27408585183593
21,train,250000,343,444.78134110787136,45,880,0.1,5250000,1000000,4.30107,0.0012130669295896022,1312500,47720.993926,1809.4403579999998,138.16426658921688
21,test,125000,161,505.4037267080743,165,905,0.05,5250000,1000000,4.2959,0,1312500,48255.663619,534.6254569999946,233.80854458638555
22,train,250000,337,474.89614243323456,30,1180,0.1,5500000,1000000,4.28557,0.0010469266047974763,1375000,50069.910682,1814.242787999996,137.79853592561204
22,test,125000,160,509.1249999999999,170,900,0.05,5500000,1000000,4.29455,0,1375000,50604.611636,534.646381999999,233.79939378323564
23,train,250000,327,492.3853211009172,100,990,0.1,5750000,1000000,4.27415,0.00090373827393936453,1437500,52413.531934,1808.916799999999,138.20425571811822
23,test,125000,167,458.86227544910173,110,800,0.05,5750000,1000000,4.32786,0,1437500,52946.601885000004,533.0231550000026,234.51138815911176
24,train,250000,330,503.5000000000001,50,1210,0.1,6000000,1000000,4.54644,0.00081869499735402285,1500000,54754.274988000005,1807.669636000006,138.29960686466893
24,test,125000,157,500.25477707006365,160,835,0.05,6000000,1000000,4.50729,0,1500000,55287.283761,532.9586519999939,234.53977063872009
25,train,250000,323,512.3529411764703,80,1035,0.1,6250000,1000000,4.4353,0.00085173082278758565,1562500,57095.455964,1808.168961999996,138.26141541743849
25,test,125000,164,499.69512195121956,90,1150,0.05,6250000,1000000,4.44109,0,1562500,57627.813857,532.3105959999957,234.82530864367953
26,train,250000,301,555.2657807308963,115,1280,0.1,6500000,1000000,5.07689,0.00087405144304066561,1625000,59441.878861000005,1814.0616450000016,137.81229578887866
26,test,125000,142,612.1830985915495,110,1330,0.05,6500000,1000000,5.06612,0,1625000,59970.197997,528.2698079999973,236.62151065048306
27,train,250000,286,572.2377622377625,140,1070,0.1,6750000,1000000,4.96191,0.00084025010762542568,1687500,61774.539763,1804.3384609999994,138.5549360076519
27,test,125000,139,615.5395683453237,215,1315,0.05,6750000,1000000,4.97799,0,1687500,62301.068339000005,526.4817280000061,237.42514384088662
28,train,250000,270,602.4444444444439,125,1570,0.1,7000000,1000000,4.77088,0.00078655679590573855,1750000,64106.933919,1805.8622790000009,138.4380209427919
28,test,125000,133,662.5563909774434,280,1630,0.05,7000000,1000000,4.72808,0,1750000,64634.324896000006,527.3248480000038,237.0455336479784
29,train,250000,284,609.4894366197179,80,1630,0.1,7250000,1000000,4.61952,0.00073133060453703239,1812500,66444.282149,1809.9539250000016,138.12506304545835
29,test,125000,167,504.43113772455087,225,1140,0.05,7250000,1000000,4.71292,0,1812500,66974.019332,529.6815649999917,235.99084480125708
30,train,250000,296,586.4695945945945,155,1335,0.1,7500000,1000000,4.98601,0.00070005235291918037,1875000,68783.520947,1809.496564999994,138.15997489887516
30,test,125000,146,617.8767123287668,230,1175,0.05,7500000,1000000,5.02414,0,1875000,69308.273549,524.70435,238.2293952775501
31,train,250000,290,592.3103448275863,150,1375,0.1,7750000,1000000,4.99658,0.0006947069731515755,1937500,71116.13735,1807.860572999998,138.28500036656325
31,test,125000,143,567.5874125874126,30,1360,0.05,7750000,1000000,4.96838,0,1937500,71646.367026,530.1766449999996,235.77047608349497
32,train,250000,279,622.8853046594982,90,1445,0.1,8000000,1000000,5.34513,0.00070170034199219106,2000000,73453.615801,1807.2454609999986,138.33206689127226
32,test,125000,132,661.7045454545452,205,1385,0.05,8000000,1000000,5.35503,0,2000000,73981.564044,527.8844140000001,236.79426155590184
33,train,250000,273,637.3626373626375,95,1470,0.1,8250000,1000000,4.8333,0.00066487431718092679,2062500,75788.066793,1806.4995130000025,138.38918759785997
33,test,125000,128,705.7812499999994,310,1295,0.05,8250000,1000000,4.9062,0,2062500,76319.692706,531.5758740000019,235.1498743902729
34,train,250000,277,652.0397111913361,105,1410,0.1,8500000,1000000,5.56513,0.00061587450189582013,2125000,78135.309892,1815.6137799999997,137.69448257877843
34,test,125000,155,568.2258064516129,200,1490,0.05,8500000,1000000,5.57325,0,2125000,78667.614068,532.2513879999897,234.85143076790328
35,train,250000,280,642.4821428571435,130,1775,0.1,8750000,1000000,5.72428,0.00060712893634779332,2187500,80482.628821,1815.011406000005,137.74018123167613
35,test,125000,126,693.8888888888889,215,1520,0.05,8750000,1000000,5.67488,0,2187500,81006.218868,523.5383029999939,238.75999002121046
36,train,250000,284,616.4084507042254,80,1390,0.1,9000000,1000000,5.40331,0.00059248698599998536,2250000,82819.584394,1813.3622410000098,137.86544924533843
36,test,125000,133,663.5338345864658,350,1425,0.05,9000000,1000000,5.30151,0,2250000,83347.58410200001,527.9373060000071,236.77053805324059
37,train,250000,272,660.606617647059,150,1595,0.1,9250000,1000000,5.39459,0.00059357645363531839,2312500,85159.763853,1812.1764939999994,137.95565764578342
