epoch,phase,steps,nr_games,average_reward,min_game_reward,max_game_reward,last_exploration_rate,total_train_steps,replay_memory_count,meanq,meancost,weight_updates,total_time,epoch_time,steps_per_second
7,test,10000,12,-20.833333333333336,-21,-19,0.05,350000,479218,-0.121054,0.011122049026211511,87500,2062.772347,43.2201070000001,231.37379090708816
8,train,50000,54,-20.388888888888886,-21,-6,0.6400009,400000,530187,-0.172495,0.011129249120697505,100000,2304.0765579999997,241.300205,207.21076469868726
8,test,10000,13,-21.0,-21,-21,0.05,400000,540455,-0.172456,0.011129249120697505,100000,2347.589681,43.497511999999915,229.89820659167862
9,train,50000,53,-20.415094339622645,-21,-13,0.5950008999999999,450000,591486,-0.172428,0.011136154571575333,112500,2609.962671,262.368884,190.57137888348072
9,test,10000,13,-21.0,-21,-21,0.05,450000,601781,-0.168661,0.011136154571575333,112500,2652.801012,42.82204899999988,233.52455647323248
10,train,50000,55,-20.50909090909091,-21,-12,0.5500008999999999,500000,652745,-0.211038,0.010617417580404694,125000,2916.370331,263.56532400000015,189.70629080174436
10,test,10000,13,-21.0,-21,-21,0.05,500000,662928,-0.211245,0.010617417580404694,125000,2960.8701579999997,44.478647999999794,224.82697765453767
11,train,50000,56,-20.625,-21,-15,0.5050009,550000,713961,-0.255363,0.0099571720108163654,137500,3234.146049,273.2717269999998,182.9680682626931
11,test,10000,12,-21.0,-21,-21,0.05,550000,724201,-0.277841,0.0099571720108163654,137500,3278.20659,44.044092999999975,227.04520217955232
12,train,50000,59,-20.576271186440678,-21,-10,0.46000090000000005,600000,775294,-0.257938,0.0094561909290061877,150000,3558.689877,280.479233,178.26631749238987
12,test,10000,13,-21.0,-21,-21,0.05,600000,785563,-0.227341,0.0094561909290061877,150000,3602.362159,43.65626699999984,229.06218710821142
13,train,50000,59,-20.7457627118644,-21,-13,0.4150009,650000,836622,-0.284194,0.0090879435253087143,162500,3891.764276,289.39833099999987,172.77224725943572
13,test,10000,11,-21.0,-21,-21,0.05,650000,846805,-0.281417,0.0090879435253087143,162500,3936.056717,44.276662000000215,225.8526173450011
14,train,50000,57,-20.403508771929825,-21,-2,0.3700009000000001,700000,897863,-0.244069,0.0086770140378194492,175000,4241.364657,305.30408199999965,163.77114800581035
14,test,10000,13,-21.0,-21,-21,0.05,700000,908124,-0.244559,0.0086770140378194492,175000,4285.630092,44.24954700000035,225.99101410009737
15,train,50000,55,-20.745454545454553,-21,-16,0.32500090000000004,750000,959050,-0.290225,0.008321923554538908,187500,4578.465265000001,292.8316840000007,170.74655077283197
15,test,10000,13,-21.0,-21,-21,0.05,750000,969325,-0.319569,0.008321923554538908,187500,4621.939499,43.458636999999726,230.10385714582037
16,train,50000,57,-20.68421052631579,-21,-13,0.2800009,800000,1000000,-0.312055,0.0080013568186528237,200000,4931.7915410000005,309.84882000000016,161.36901860720326
16,test,10000,11,-21.0,-21,-21,0.05,800000,1000000,-0.281833,0.0080013568186528237,200000,4975.839734,44.0297129999999,227.11935460492379
17,train,50000,56,-20.374999999999996,-21,-6,0.23500090000000007,850000,1000000,-0.387741,0.0076990736953282887,212500,5289.475552000001,313.63194700000076,159.42253484782876
17,test,10000,12,-21.0,-21,-21,0.05,850000,1000000,-0.418791,0.0076990736953282887,212500,5333.4262100000005,43.93521000000055,227.6078798758416
18,train,50000,56,-20.678571428571423,-21,-18,0.19000090000000003,900000,1000000,-0.483813,0.007412836417106607,225000,5675.887566,342.45735700000023,146.00357965152423
18,test,10000,13,-21.0,-21,-21,0.05,900000,1000000,-0.514262,0.007412836417106607,225000,5727.049694,51.132588999999825,195.56999157621442
19,train,50000,56,-20.500000000000007,-21,-12,0.1450009,950000,1000000,-0.417343,0.0071559236413634144,237500,6058.597672000001,331.54427900000064,150.80941873227107
19,test,10000,9,-20.555555555555557,-21,-20,0.05,950000,1000000,-0.388685,0.0071559236413634144,237500,6102.119509,43.50536099999954,229.85672961086578
20,train,50000,56,-20.446428571428573,-21,-6,0.10000090000000006,1000000,1000000,-0.270108,0.0069039456464512743,250000,6439.701527,337.5781820000002,148.11383752282893
20,test,10000,10,-20.6,-21,-20,0.05,1000000,1000000,-0.267911,0.0069039456464512743,250000,6484.372449,44.65485400000034,223.93982074154633
21,train,50000,52,-20.61538461538462,-21,-16,0.1,1050000,1000000,-0.358708,0.0066718424659568416,262500,6837.537514000001,353.1607690000001,141.5785794712662
21,test,10000,12,-21.0,-21,-21,0.05,1050000,1000000,-0.360348,0.0066718424659568416,262500,6883.973885,46.420038000000204,215.424209691512
22,train,50000,51,-20.666666666666664,-21,-18,0.1,1100000,1000000,-0.502701,0.0064594495684595389,275000,7236.295734,352.315697,141.91817289367043
22,test,10000,10,-20.700000000000003,-21,-20,0.05,1100000,1000000,-0.5041,0.0064594495684595389,275000,7280.118104,43.80652999999984,228.27646928437466
23,train,50000,51,-20.31372549019608,-21,-2,0.1,1150000,1000000,-0.482925,0.0062752637055114042,287500,7632.104296,351.9819559999996,142.0527363624289
23,test,10000,11,-20.909090909090907,-21,-20,0.05,1150000,1000000,-0.481852,0.0062752637055114042,287500,7675.801975,43.68308799999977,228.9215451068856
24,train,50000,52,-20.634615384615394,-21,-17,0.1,1200000,1000000,-0.528942,0.0061010714696313091,300000,8030.58338,354.77752899999996,140.93339040083345
24,test,10000,11,-20.81818181818182,-21,-20,0.05,1200000,1000000,-0.528987,0.0061010714696313091,300000,8075.489131,44.889868000000206,222.76741825126226
25,train,50000,52,-20.5,-21,-12,0.1,1250000,1000000,-0.412454,0.0060103306289602089,312500,8428.653762,353.1604920000009,141.57869051785067
25,test,10000,11,-20.454545454545457,-21,-19,0.05,1250000,1000000,-0.431667,0.0060103306289602089,312500,8471.668222999999,42.99615099999937,232.57895805603962
