epoch,phase,steps,nr_games,average_reward,min_game_reward,max_game_reward,last_exploration_rate,total_train_steps,replay_memory_count,meanq,meancost,weight_updates,total_time,epoch_time,steps_per_second
23,test,125000,122,333.77049180327884,120,580,0.05,5750000,1000000,5.3098,0,1437500,40788.705919,416.65583499999775,300.0077990027445
24,train,250000,213,513.2394366197184,140,1060,0.1,6000000,1000000,5.51062,0.00046455251167303214,1500000,42182.879266,1394.170527000002,179.31809284331516
24,test,125000,107,533.271028037383,100,920,0.05,6000000,1000000,5.51708,0,1500000,42599.22465800001,416.33178800000314,300.24130658021977
25,train,250000,212,590.849056603774,120,1220,0.1,6250000,1000000,5.45519,0.00046466005248523994,1562500,43994.839306,1395.6117870000016,179.132909544565
25,test,125000,104,494.42307692307696,140,960,0.05,6250000,1000000,5.46455,0,1562500,44411.931675,417.07877699999517,299.7035737447783
26,train,250000,213,637.1830985915491,200,1240,0.1,6500000,1000000,5.64173,0.00047376258413558427,1625000,45806.369024,1394.434497999995,179.2841473432916
26,test,125000,84,909.7619047619047,320,1560,0.05,6500000,1000000,5.63085,0,1625000,46222.70108100001,416.3185250000024,300.250871613266
27,train,250000,218,650.8256880733946,200,1380,0.1,6750000,1000000,5.71619,0.00041665635243423534,1687500,47616.582153,1393.8782569999967,179.35569246776808
27,test,125000,86,963.7209302325583,500,1560,0.05,6750000,1000000,5.74651,0,1687500,48033.321244000006,416.72563600000285,299.95754808806424
28,train,250000,193,817.8238341968914,160,1700,0.1,7000000,1000000,5.80539,0.00043435826574468952,1750000,49428.636595,1395.3125359999976,179.17132796404576
28,test,125000,97,885.360824742268,360,1700,0.05,7000000,1000000,5.85776,0,1750000,49845.329166,416.6789770000032,299.9911368218585
29,train,250000,155,1212.3870967741939,320,1980,0.1,7250000,1000000,6.58547,0.00041156364375095965,1812500,51238.351161000006,1393.0190790000051,179.466314402144
29,test,125000,62,1782.258064516129,720,2660,0.05,7250000,1000000,6.63276,0,1812500,51655.154358,416.7895759999956,299.91153137669
30,train,250000,153,1232.4183006535943,220,1900,0.1,7500000,1000000,6.27826,0.00037236393299096461,1875000,53049.607779000005,1394.450573000002,179.28208058472336
30,test,125000,59,1653.8983050847455,1180,1880,0.05,7500000,1000000,6.28529,0,1875000,53466.027492,416.40614500000083,300.18769295539516
31,train,250000,159,1224.1509433962267,200,2040,0.1,7750000,1000000,6.80793,0.00035025300685009929,1937500,54860.517435,1394.4871179999973,179.2773821808804
31,test,125000,87,907.1264367816093,340,1380,0.05,7750000,1000000,6.7771,0,1937500,55277.02432700001,416.4933149999997,300.12486514939644
32,train,250000,163,1149.6932515337423,60,1960,0.1,8000000,1000000,7.41851,0.00039706449560565128,2000000,56670.897853,1393.8707129999966,179.35666318860422
32,test,125000,69,1380.8695652173915,700,2220,0.05,8000000,1000000,7.39901,0,2000000,57087.274558000005,416.3630750000011,300.2187453822596
33,train,250000,172,1033.0232558139537,220,1880,0.1,8250000,1000000,7.29029,0.00039744588497162898,2062500,58482.118981,1394.841588999996,179.23182243170174
33,test,125000,91,768.7912087912088,240,1320,0.05,8250000,1000000,7.3022,0,2062500,58898.685527,416.55308800000057,300.0817989374738
34,train,250000,153,1332.4183006535948,100,2180,0.1,8500000,1000000,7.51408,0.00044508164460683287,2125000,60292.71266600001,1394.0243300000002,179.33689866087198
34,test,125000,140,495.71428571428567,120,1020,0.05,8500000,1000000,7.54694,0,2125000,60710.005354,417.2791209999996,299.5596801019913
35,train,250000,151,1327.2847682119204,240,2160,0.1,8750000,1000000,7.76879,0.00047894880326906507,2187500,62105.005581000005,1394.997408000003,179.21180252114095
35,test,125000,113,721.7699115044247,160,1420,0.05,8750000,1000000,7.72421,0,2187500,62521.548561,416.5294020000001,300.0988631289946
36,train,250000,162,1167.4074074074065,360,2120,0.1,9000000,1000000,8.28423,0.00045517649130880875,2250000,63916.749784,1395.1984019999945,179.1859850481688
36,test,125000,79,1174.6835443037971,540,1840,0.05,9000000,1000000,8.29363,0,2250000,64333.427452,416.6640499999994,300.00188401183203
37,train,250000,179,1027.5977653631294,140,2120,0.1,9250000,1000000,8.54087,0.0004550837867199604,2312500,65729.015482,1395.5852030000024,179.1363217828554
37,test,125000,95,990.5263157894736,340,1740,0.05,9250000,1000000,8.49924,0,2312500,66145.42785400001,416.39875100000063,300.19302339357836
38,train,250000,159,1262.0125786163524,260,2240,0.1,9500000,1000000,8.57106,0.00050697968909997691,2375000,67539.86856,1394.4378920000017,179.28371097362555
38,test,125000,59,1944.0677966101698,1280,2300,0.05,9500000,1000000,8.57024,0,2375000,67956.445207,416.56308499998704,300.0745973446108
39,train,250000,145,1355.3103448275865,560,2020,0.1,9750000,1000000,8.68432,0.00048218093425388966,2437500,69351.173178,1394.725053999995,179.24679798574903
39,test,125000,79,1156.455696202531,340,2000,0.05,9750000,1000000,8.69419,0,2437500,69767.64797800001,416.4612230000057,300.1479924098439
40,train,250000,165,1168.4848484848496,300,2020,0.1,10000000,1000000,9.46146,0.000480436565823067,2500000,71161.655712,1394.004918000006,179.3393959891316
40,test,125000,93,778.4946236559141,300,1160,0.05,10000000,1000000,9.41126,0,2500000,71578.20568700001,416.5364580000023,300.09377954618157
41,train,250000,169,1153.0177514792902,300,2320,0.1,10250000,1000000,8.4522,0.00050413805223270048,2562500,72972.93663,1394.7281089999888,179.24640536516355
41,test,125000,73,1269.0410958904108,780,1800,0.05,10250000,1000000,8.47773,0,2562500,73389.522484,416.5723219999927,300.0679435442717
42,train,250000,150,1381.3333333333335,420,2180,0.1,10500000,1000000,9.01123,0.00051915725036954467,2625000,74783.761174,1394.2358629999944,179.30968972643691
42,test,125000,63,1863.8095238095239,720,2260,0.05,10500000,1000000,8.97525,0,2625000,75199.734925,415.9599869999947,300.50967378264096
43,train,250000,162,1253.4567901234575,320,2140,0.1,10750000,1000000,9.69798,0.00049245951248611929,2687500,76595.31968700001,1395.5819460000057,179.13673985002882
43,test,125000,61,1958.0327868852455,1140,2340,0.05,10750000,1000000,9.71412,0,2687500,77011.87918,416.5459899999987,300.0869123719097
44,train,250000,168,1194.5238095238092,280,2140,0.1,11000000,1000000,9.43283,0.00045624999629795228,2750000,78407.11402200001,1395.2320279999985,179.18166654930047
44,test,125000,61,2002.6229508196723,1220,2340,0.05,11000000,1000000,9.40422,0,2750000,78823.6033,416.4757110000064,300.13755111879277
45,train,250000,174,1128.5057471264374,240,2060,0.1,11250000,1000000,9.59778,0.00046923758754784231,2812500,80219.98633700001,1396.380216000005,179.03433258037444
45,test,125000,90,1050.4444444444443,180,2120,0.05,11250000,1000000,9.65826,0,2812500,80636.70422700001,416.7043910000066,299.9728409389332
46,train,250000,183,1026.775956284153,200,1920,0.1,11500000,1000000,9.41191,0.00047564123721575117,2875000,82032.347869,1395.6408200000005,179.1291831088746
46,test,125000,67,1644.4776119402984,820,2160,0.05,11500000,1000000,9.43685,0,2875000,82449.105025,416.7437579999969,299.9445045077338
47,train,250000,170,1146.9411764705878,360,2060,0.1,11750000,1000000,10.1167,0.00046947139147871371,2937500,83847.025436,1397.9176009999937,178.83743635616554
47,test,125000,74,1427.8378378378382,460,2260,0.05,11750000,1000000,9.83279,0,2937500,84263.77903800001,416.73988000000827,299.9472956607789
